"image_name","c1","c2","c3","c4","c5","c_total","MOS","SD","MOS_zscore"
"10004473376.jpg",0,0,25,73,7,105,3.82857142857143,0.527277894493955,77.3836206896552
"10007357496.jpg",0,3,45,47,1,96,3.47916666666667,0.5800030247955,68.7285714285714
"10007903636.jpg",1,0,20,73,2,96,3.78125,0.527219618674978,78.6285714285714
"10009096245.jpg",0,0,21,75,13,109,3.92660550458716,0.556217750098803,77.24375
"100117038.jpg",0,1,21,72,6,100,3.83,0.532859638121892,75.1125
"10012398043.jpg",0,7,55,40,1,103,3.33980582524272,0.619192992472071,65.1495327102804
"10013822223.jpg",0,0,48,60,2,110,3.58181818181818,0.531258125581778,68.30625
"10014002683.jpg",0,6,46,51,3,106,3.4811320754717,0.650730462458067,64.7627118644068
"10017119924.jpg",0,3,58,50,0,111,3.42342342342342,0.548544347250886,66.224358974359
"10020766793.jpg",0,0,11,78,20,109,4.08256880733945,0.529297934146812,81.50625
"10020891105.jpg",0,4,80,18,0,102,3.13725490196078,0.445865843301836,56.8297413793103
"10022757465.jpg",0,3,32,66,4,105,3.67619047619048,0.596387169276516,71.0154867256637
"10022844623.jpg",1,5,60,36,0,102,3.2843137254902,0.603249467802339,60.925
"10027545463.jpg",0,0,31,66,5,102,3.74509803921569,0.53927480659291,72.8279816513761
"10027582235.jpg",0,0,24,78,5,107,3.82242990654206,0.491687201381957,77.1377118644068
"10029841663.jpg",0,4,65,64,1,134,3.46268656716418,0.570670577951945,70.125
"10031298826.jpg",1,22,90,9,0,122,2.87704918032787,0.52346381078129,50.5681818181818
"10031913154.jpg",0,4,63,65,2,134,3.48507462686567,0.584705756305363,70.5
"10039534103.jpg",0,0,34,72,1,107,3.69158878504673,0.483915144465277,76.075
"10041870415.jpg",0,2,53,49,0,104,3.45192307692308,0.537520515613129,66.4210526315789
